"a_number","b_number","duration","calleeCarrier","weight","startTime","callDay","startDate"
"1382","1134","10","","1.0","8.4849","Wednesday","20151007"
"1382","1307","12","","1.0","10.4931","Wednesday","20151007"
"1382","1286","36","","1.0","15.09","Wednesday","20151007"
"1382","1134","11","","1.0","8.5115","Wednesday","20151007"
"1382","1173","9","","1.0","6.1728","Friday","20151009"
"1303","1376","100","","1.0","18.2105","Wednesday","20151007"
"1303","1376","91","","1.0","18.2942","Wednesday","20151007"
"1303","1376","78","","1.0","18.2308","Wednesday","20151007"
"1303","1376","100","","1.0","18.2105","Wednesday","20151007"
"1303","1376","91","","1.0","18.2942","Wednesday","20151007"
"1303","1376","78","","1.0","18.2308","Wednesday","20151007"
"1347","1285","75","","1.0","19.3018","Friday","20151009"
"1347","1173","21","","1.0","16.5529","Tuesday","20151006"
"1347","1285","75","","1.0","19.3018","Friday","20151009"
"1347","1173","13","","1.0","12.4754","Tuesday","20151006"
"1347","1173","42","","1.0","11.4311","Wednesday","20151007"
"1347","1173","13","","1.0","12.4754","Tuesday","20151006"
"1347","1173","80","","1.0","10.0505","Tuesday","20151006"
"1347","1173","80","","1.0","10.0505","Tuesday","20151006"
"1347","1186","127","","1.0","16.1622","Tuesday","20151006"
"1347","1186","127","","1.0","16.1622","Tuesday","20151006"
"1347","1342","153","","1.0","14.4745","Thursday","20151008"
"1347","1342","153","","1.0","14.4745","Thursday","20151008"
"1347","1384","223","","1.0","14.5042","Thursday","20151008"
"1347","1384","223","","1.0","14.5042","Thursday","20151008"
"1347","1173","21","","1.0","16.5529","Tuesday","20151006"
"1347","1173","42","","1.0","11.4311","Wednesday","20151007"
"1362","1081","29","","1.0","7.1145","Friday","20151009"
"1362","1081","29","","1.0","7.1145","Friday","20151009"
"1362","1081","68","","1.0","16.5235","Friday","20151009"
"1362","654","90","","1.0","11.253","Friday","20151009"
"1362","1326","250","","1.0","17.0018","Monday","20151005"
"1362","1081","68","","1.0","16.5235","Friday","20151009"
"1362","654","90","","1.0","11.253","Friday","20151009"
"1362","1326","250","","1.0","17.0018","Monday","20151005"
"1379","1307","12","","1.0","23.2657","Thursday","20151008"
"1379","1307","13","","1.0","0.0045","Sunday","20151011"
"1130","1259","368","","1.0","10.1211","Monday","20151005"
"1130","1259","19","","1.0","10.0159","Monday","20151005"
"1130","1226","116","","1.0","14.1504","Tuesday","20151006"
"1130","1259","368","","1.0","10.1211","Monday","20151005"
"1130","1259","39","","1.0","17.0116","Tuesday","20151006"
"1130","1259","39","","1.0","17.0116","Tuesday","20151006"
"1130","1226","116","","1.0","14.1504","Tuesday","20151006"
"1130","1259","19","","1.0","10.0159","Monday","20151005"
"1130","1259","43","","1.0","10.3932","Monday","20151005"
"1130","1259","43","","1.0","10.3932","Monday","20151005"
"1274","896","73","","1.0","11.5113","Tuesday","20151006"
"1274","896","73","","1.0","11.5113","Tuesday","20151006"
"1274","1340","10","","1.0","4.5746","Thursday","20151008"
"1274","1340","10","","1.0","4.5746","Thursday","20151008"
"1274","1350","39","","1.0","9.2013","Saturday","20151010"
"1274","1350","39","","1.0","9.2013","Saturday","20151010"
"1274","1086","92","","1.0","7.463","Saturday","20151010"
"1274","1086","92","","1.0","7.463","Saturday","20151010"
"1274","896","32","","1.0","15.1656","Thursday","20151008"
"1274","896","32","","1.0","15.1656","Thursday","20151008"
"1274","767","18","","1.0","12.5141","Monday","20151005"
"1274","1350","20","","1.0","9.1938","Saturday","20151010"
"1274","767","18","","1.0","12.5141","Monday","20151005"
"1274","1350","20","","1.0","9.1938","Saturday","20151010"
"1371","568","78","","1.0","16.0533","Monday","20151005"
"1371","568","78","","1.0","16.0533","Monday","20151005"
"1173","1052","16","","1.0","13.4126","Thursday","20151008"
"1173","1052","20","","1.0","16.3707","Friday","20151009"
"1173","896","80","","1.0","10.2743","Tuesday","20151006"
"1173","1052","20","","1.0","16.3707","Friday","20151009"
"1173","1052","16","","1.0","13.4126","Thursday","20151008"
"1173","896","80","","1.0","10.2743","Tuesday","20151006"
"1173","896","1576","","1.0","19.0841","Saturday","20151010"
"1173","896","1576","","1.0","19.0841","Saturday","20151010"
"1173","896","136","","1.0","8.4703","Monday","20151005"
"1173","896","136","","1.0","8.4703","Monday","20151005"
"1173","1004","139","","1.0","19.375","Saturday","20151010"
"1173","1004","139","","1.0","19.375","Saturday","20151010"
"1173","896","56","","1.0","19.4029","Saturday","20151010"
"1173","896","56","","1.0","19.4029","Saturday","20151010"
"1169","1107","51","","1.0","21.4728","Friday","20151009"
"1169","1107","36","","1.0","13.0734","Saturday","20151010"
"1169","1107","79","","1.0","20.3844","Saturday","20151010"
"1169","1107","29","","1.0","10.3616","Monday","20151005"
"1169","1107","79","","1.0","20.3844","Saturday","20151010"
"1169","1107","51","","1.0","21.4728","Friday","20151009"
"1169","1107","36","","1.0","13.0734","Saturday","20151010"
"1169","1107","54","","1.0","13.1029","Friday","20151009"
"1169","1107","48","","1.0","17.322","Thursday","20151008"
"1169","1107","29","","1.0","10.3616","Monday","20151005"
"1169","1107","54","","1.0","13.1029","Friday","20151009"
"1169","1107","48","","1.0","17.322","Thursday","20151008"
"1371","1306","330","","1.0","13.0258","Tuesday","20151006"
"1371","1306","26","","1.0","13.0214","Tuesday","20151006"
"1371","1381","113","","1.0","18.2249","Friday","20151009"
"1371","1381","113","","1.0","18.2249","Friday","20151009"
"1371","1306","330","","1.0","13.0258","Tuesday","20151006"
"1371","1306","26","","1.0","13.0214","Tuesday","20151006"
"1130","1077","61","","1.0","8.4828","Friday","20151009"
"1130","1214","287","","1.0","14.5144","Tuesday","20151006"
"1130","1188","471","","1.0","20.3329","Friday","20151009"
"1130","896","21","","1.0","10.3135","Saturday","20151010"
"1130","1077","61","","1.0","8.4828","Friday","20151009"
"1130","1188","47","","1.0","13.1556","Tuesday","20151006"
"1130","1077","81","","1.0","20.0651","Wednesday","20151007"
"1130","1188","471","","1.0","20.3329","Friday","20151009"
"1130","896","21","","1.0","10.3135","Saturday","20151010"
"1130","896","204","","1.0","11.0904","Saturday","20151010"
"1130","896","204","","1.0","11.0904","Saturday","20151010"
"1130","1188","47","","1.0","13.1556","Tuesday","20151006"
"1130","1077","81","","1.0","20.0651","Wednesday","20151007"
"1130","1214","287","","1.0","14.5144","Tuesday","20151006"
"1269","870","165","","1.0","8.3621","Friday","20151009"
"1307","1311","46","","1.0","13.4729","Friday","20151009"
"1307","1311","46","","1.0","13.4729","Friday","20151009"
"1196","1258","156","","1.0","23.504","Tuesday","20151006"
"1196","1307","14","","1.0","14.4359","Thursday","20151008"
"1196","1307","28","","1.0","14.3914","Thursday","20151008"
"1196","1258","156","","1.0","23.504","Tuesday","20151006"
"1196","1307","14","","1.0","14.4359","Thursday","20151008"
"1196","1258","33","","1.0","18.0713","Tuesday","20151006"
"1196","1258","33","","1.0","18.0713","Tuesday","20151006"
"1196","1307","28","","1.0","14.3914","Thursday","20151008"
"1392","621","24","","1.0","15.4307","Wednesday","20151007"
"1392","621","86","","1.0","14.5102","Wednesday","20151007"
"1392","621","28","","1.0","16.1059","Tuesday","20151006"
"1392","1328","23","","1.0","13.3128","Thursday","20151008"
"1173","1286","38","","1.0","11.1015","Wednesday","20151007"
"1173","1196","77","","1.0","17.5205","Wednesday","20151007"
"1173","1003","121","","1.0","1.5755","Sunday","20151011"
"1173","1003","23","","1.0","17.4931","Friday","20151009"
"1173","1003","63","","1.0","1.5154","Sunday","20151011"
"1173","1003","62","","1.0","1.5648","Sunday","20151011"
"975","1367","148","","1.0","16.1556","Wednesday","20151007"
"975","904","6","","1.0","20.5153","Sunday","20151011"
"975","1363","248","","1.0","9.491","Monday","20151005"
"975","1286","61","","1.0","14.2736","Tuesday","20151006"
"975","1003","120","","1.0","15.2603","Friday","20151009"
"975","1363","19","","1.0","13.2555","Wednesday","20151007"
"975","1363","21","","1.0","12.0716","Friday","20151009"
"975","1363","167","","1.0","12.4909","Monday","20151005"
"975","1363","128","","1.0","8.0344","Thursday","20151008"
"975","1116","180","","1.0","10.3613","Wednesday","20151007"
"975","1363","24","","1.0","14.2407","Sunday","20151011"
"975","1307","358","","1.0","18.3804","Sunday","20151011"
"975","1363","126","","1.0","9.523","Wednesday","20151007"
"975","1363","99","","1.0","14.3143","Friday","20151009"
"975","1363","175","","1.0","15.4955","Thursday","20151008"
"975","1363","43","","1.0","15.2828","Friday","20151009"
"975","1363","179","","1.0","9.5329","Monday","20151005"
"975","1363","13","","1.0","10.421","Wednesday","20151007"
"975","1363","45","","1.0","16.2038","Wednesday","20151007"
"975","1363","732","","1.0","21.5947","Thursday","20151008"
"975","1363","73","","1.0","16.235","Thursday","20151008"
"975","1367","405","","1.0","9.43","Thursday","20151008"
"975","1363","125","","1.0","8.3139","Tuesday","20151006"
"975","1363","87","","1.0","10.2304","Wednesday","20151007"
"975","1363","23","","1.0","10.5112","Wednesday","20151007"
"975","904","21","","1.0","15.4458","Tuesday","20151006"
"975","1363","23","","1.0","11.5851","Tuesday","20151006"
"975","1363","151","","1.0","10.2526","Thursday","20151008"
"975","1363","12","","1.0","12.5315","Thursday","20151008"
"975","1363","15","","1.0","9.2959","Thursday","20151008"
"975","1367","236","","1.0","18.3223","Wednesday","20151007"
"975","904","24","","1.0","11.3153","Thursday","20151008"
"975","1363","54","","1.0","16.4235","Wednesday","20151007"
"1075","1110","21","","1.0","16.1206","Tuesday","20151006"
"1075","1110","21","","1.0","16.1206","Tuesday","20151006"
"1173","1333","135","","1.0","12.1707","Tuesday","20151006"
"1173","1030","19","","1.0","19.1854","Monday","20151005"
"1173","867","37","","1.0","13.5012","Thursday","20151008"
"1173","1333","135","","1.0","12.1707","Tuesday","20151006"
"1173","867","28","","1.0","13.5546","Thursday","20151008"
"1173","867","6","","1.0","17.3707","Monday","20151005"
"1173","867","36","","1.0","19.3929","Wednesday","20151007"
"1173","867","36","","1.0","19.3929","Wednesday","20151007"
"1173","1030","19","","1.0","19.1854","Monday","20151005"
"1173","867","37","","1.0","13.5012","Thursday","20151008"
"1173","867","28","","1.0","13.5546","Thursday","20151008"
"1173","867","6","","1.0","17.3707","Monday","20151005"
"1186","1023","8","","1.0","19.4801","Wednesday","20151007"
"1186","1273","1","","1.0","17.5455","Friday","20151009"
"1186","1023","36","","1.0","18.432","Wednesday","20151007"
"1186","1023","34","","1.0","19.0238","Saturday","20151010"
"1186","1269","81","","1.0","4.0603","Thursday","20151008"
"1186","1023","36","","1.0","18.432","Wednesday","20151007"
"1186","1023","8","","1.0","19.4801","Wednesday","20151007"
"1186","1023","174","","1.0","19.2806","Monday","20151005"
"1186","1023","9","","1.0","19.5313","Wednesday","20151007"
"1186","1023","174","","1.0","19.2806","Monday","20151005"
"1186","1023","9","","1.0","19.5313","Wednesday","20151007"
"1186","1023","34","","1.0","19.0238","Saturday","20151010"
"1186","1023","34","","1.0","19.365","Friday","20151009"
"1186","1023","34","","1.0","19.365","Friday","20151009"
"1186","1273","1","","1.0","17.5455","Friday","20151009"
"1186","1269","81","","1.0","4.0603","Thursday","20151008"
"1091","804","32","","1.0","17.382","Thursday","20151008"
"1091","1307","331","","1.0","15.215","Wednesday","20151007"
"1091","1307","39","","1.0","10.3156","Monday","20151005"
"1091","1307","51","","1.0","13.1926","Wednesday","20151007"
"1091","1275","30","","1.0","17.3919","Thursday","20151008"
"1091","904","9","","1.0","10.3702","Tuesday","20151006"
"1091","1376","222","","1.0","15.1927","Sunday","20151011"
"1091","1376","79","","1.0","15.1804","Sunday","20151011"
"1091","1116","305","","1.0","16.5524","Friday","20151009"
"1091","1307","404","","1.0","13.2025","Wednesday","20151007"
"1091","1307","255","","1.0","10.3345","Monday","20151005"
"1091","904","52","","1.0","17.0051","Monday","20151005"
"1091","897","105","","1.0","16.15","Monday","20151005"
"1091","904","9","","1.0","10.3702","Tuesday","20151006"
"1091","1307","331","","1.0","15.215","Wednesday","20151007"
"1091","1307","39","","1.0","10.3156","Monday","20151005"
"1091","1307","51","","1.0","13.1926","Wednesday","20151007"
"1091","1275","30","","1.0","17.3919","Thursday","20151008"
"1091","1376","222","","1.0","15.1927","Sunday","20151011"
"1091","1307","404","","1.0","13.2025","Wednesday","20151007"
"1091","1376","79","","1.0","15.1804","Sunday","20151011"
"1091","804","32","","1.0","17.382","Thursday","20151008"
"1091","1116","305","","1.0","16.5524","Friday","20151009"
"1091","1307","255","","1.0","10.3345","Monday","20151005"
"1091","897","105","","1.0","16.15","Monday","20151005"
"1091","904","52","","1.0","17.0051","Monday","20151005"
"1273","1332","43","","1.0","20.3213","Thursday","20151008"
"1273","1332","622","","1.0","15.4154","Sunday","20151011"
"1273","1332","71","","1.0","14.4749","Wednesday","20151007"
"1273","1332","1178","","1.0","13.0135","Wednesday","20151007"
"1273","1332","88","","1.0","6.5104","Wednesday","20151007"
"1273","1332","55","","1.0","15.3657","Sunday","20151011"
"1273","1332","42","","1.0","9.0535","Tuesday","20151006"
"1273","1332","2047","","1.0","9.5","Tuesday","20151006"
"1273","1332","281","","1.0","12.392","Saturday","20151010"
"1273","1332","27","","1.0","15.3821","Sunday","20151011"
"1273","1332","67","","1.0","10.3904","Saturday","20151010"
"1273","1332","34","","1.0","9.1941","Tuesday","20151006"
"1273","1332","622","","1.0","15.4154","Sunday","20151011"
"1273","1332","71","","1.0","14.4749","Wednesday","20151007"
"1273","1332","43","","1.0","20.3213","Thursday","20151008"
"1273","1332","70","","1.0","6.5524","Friday","20151009"
"1273","1332","70","","1.0","6.5524","Friday","20151009"
"1273","1332","88","","1.0","6.5104","Wednesday","20151007"
"1273","1332","1178","","1.0","13.0135","Wednesday","20151007"
"1273","1332","112","","1.0","15.402","Monday","20151005"
"1273","1332","112","","1.0","15.402","Monday","20151005"
"1273","1332","55","","1.0","15.3657","Sunday","20151011"
"1273","1332","42","","1.0","9.0535","Tuesday","20151006"
"1273","1332","281","","1.0","12.392","Saturday","20151010"
"1273","1332","25","","1.0","17.515","Friday","20151009"
"1273","1332","25","","1.0","17.515","Friday","20151009"
"1273","1332","2047","","1.0","9.5","Tuesday","20151006"
"1273","1332","27","","1.0","15.3821","Sunday","20151011"
"1273","1332","67","","1.0","10.3904","Saturday","20151010"
"1273","1332","34","","1.0","9.1941","Tuesday","20151006"
"1332","1273","1237","","1.0","16.241","Tuesday","20151006"
"1332","1273","924","","1.0","14.5421","Thursday","20151008"
"1332","1273","31","","1.0","15.1","Thursday","20151008"
"1332","1273","28","","1.0","14.533","Thursday","20151008"
"1332","1259","28","","1.0","15.1751","Friday","20151009"
"1332","1273","26","","1.0","9.1236","Wednesday","20151007"
"1332","1273","681","","1.0","20.4713","Thursday","20151008"
"1332","1273","225","","1.0","12.2855","Thursday","20151008"
"1332","1273","127","","1.0","12.3829","Tuesday","20151006"
"1332","1273","294","","1.0","14.39","Wednesday","20151007"
"1332","1273","473","","1.0","9.0643","Tuesday","20151006"
"1332","1273","1545","","1.0","15.4303","Monday","20151005"
"1332","1273","37","","1.0","11.06","Monday","20151005"
"1332","1273","66","","1.0","19.1246","Wednesday","20151007"
"1332","1273","2221","","1.0","15.4908","Saturday","20151010"
"1332","1273","211","","1.0","15.3305","Sunday","20151011"
"1332","1259","28","","1.0","15.1751","Friday","20151009"
"1332","1273","1237","","1.0","16.241","Tuesday","20151006"
"1332","1273","681","","1.0","20.4713","Thursday","20151008"
"1332","1273","85","","1.0","10.2944","Monday","20151005"
"1332","1273","26","","1.0","9.1236","Wednesday","20151007"
"1332","1273","85","","1.0","10.2944","Monday","20151005"
"1332","1273","219","","1.0","10.3342","Saturday","20151010"
"1332","1273","219","","1.0","10.3342","Saturday","20151010"
"1332","1273","924","","1.0","14.5421","Thursday","20151008"
"1332","1273","225","","1.0","12.2855","Thursday","20151008"
"1332","1273","1545","","1.0","15.4303","Monday","20151005"
"1332","1273","1339","","1.0","10.0837","Sunday","20151011"
"1332","1273","1339","","1.0","10.0837","Sunday","20151011"
"1332","1273","31","","1.0","15.1","Thursday","20151008"
"1332","1273","56","","1.0","14.3647","Tuesday","20151006"
"1332","1273","56","","1.0","14.3647","Tuesday","20151006"
"1332","1273","294","","1.0","14.39","Wednesday","20151007"
"1332","1273","28","","1.0","14.533","Thursday","20151008"
"1332","1273","66","","1.0","19.1246","Wednesday","20151007"
"1332","1273","127","","1.0","12.3829","Tuesday","20151006"
"1332","1273","211","","1.0","15.3305","Sunday","20151011"
"1332","1273","473","","1.0","9.0643","Tuesday","20151006"
"1332","1273","204","","1.0","13.2355","Tuesday","20151006"
"1332","1273","204","","1.0","13.2355","Tuesday","20151006"
"1332","1273","37","","1.0","11.06","Monday","20151005"
"1332","1273","546","","1.0","12.4445","Saturday","20151010"
"1332","1273","546","","1.0","12.4445","Saturday","20151010"
"1332","1273","2221","","1.0","15.4908","Saturday","20151010"
"1332","1273","1","","1.0","15.3907","Sunday","20151011"
"1332","1273","1","","1.0","15.3907","Sunday","20151011"
"1023","1041","16","","1.0","7.5052","Wednesday","20151007"
"1023","1307","19","","1.0","18.3341","Friday","20151009"
"1023","1041","8","","1.0","9.2417","Wednesday","20151007"
"1023","1134","30","","1.0","10.2153","Thursday","20151008"
"1023","1307","115","","1.0","13.5826","Tuesday","20151006"
"1023","1307","29","","1.0","14.5345","Saturday","20151010"
"1023","1134","41","","1.0","13.5033","Friday","20151009"
"1023","1194","40","","1.0","18.1132","Saturday","20151010"
"1023","1194","13","","1.0","18.1948","Friday","20151009"
"1023","1041","16","","1.0","7.5052","Wednesday","20151007"
"1023","1307","19","","1.0","18.3341","Friday","20151009"
"1023","1041","8","","1.0","9.2417","Wednesday","20151007"
"1023","1307","202","","1.0","8.1622","Saturday","20151010"
"1023","1307","202","","1.0","8.1622","Saturday","20151010"
"1023","1134","30","","1.0","10.2153","Thursday","20151008"
"1023","1307","29","","1.0","14.5345","Saturday","20151010"
"1023","1307","115","","1.0","13.5826","Tuesday","20151006"
"1023","1382","31","","1.0","16.2422","Wednesday","20151007"
"1023","1382","31","","1.0","16.2422","Wednesday","20151007"
"1023","1194","40","","1.0","18.1132","Saturday","20151010"
"1023","1307","28","","1.0","14.4253","Saturday","20151010"
"1023","1307","28","","1.0","14.4253","Saturday","20151010"
"1023","1194","8","","1.0","6.0617","Tuesday","20151006"
"1023","1194","8","","1.0","6.0617","Tuesday","20151006"
"1023","1194","48","","1.0","15.4347","Saturday","20151010"
"1023","1194","48","","1.0","15.4347","Saturday","20151010"
"1023","1134","41","","1.0","13.5033","Friday","20151009"
"1023","1307","18","","1.0","17.192","Tuesday","20151006"
"1023","1307","18","","1.0","17.192","Tuesday","20151006"
"1023","1194","72","","1.0","19.3126","Wednesday","20151007"
"1023","1194","72","","1.0","19.3126","Wednesday","20151007"
"1023","1194","13","","1.0","18.1948","Friday","20151009"
"1340","1227","104","","1.0","19.3103","Friday","20151009"
"1169","896","41","","1.0","17.0547","Saturday","20151010"
"1169","896","41","","1.0","17.0547","Saturday","20151010"
"1203","621","77","","1.0","12.0703","Thursday","20151008"
"1203","621","77","","1.0","12.0703","Thursday","20151008"
"1203","1215","26","","1.0","18.0738","Thursday","20151008"
"1203","1215","26","","1.0","18.0738","Thursday","20151008"
"1371","1307","213","","1.0","15.2621","Sunday","20151011"
"1371","1307","213","","1.0","15.2621","Sunday","20151011"
"1371","1307","104","","1.0","13.1211","Sunday","20151011"
"1371","1307","104","","1.0","13.1211","Sunday","20151011"
"1371","958","70","","1.0","17.4207","Saturday","20151010"
"1371","958","70","","1.0","17.4207","Saturday","20151010"
"1003","1023","46","","1.0","16.4313","Friday","20151009"
"1003","1023","66","","1.0","17.0456","Friday","20151009"
"1003","1023","16","","1.0","17.1432","Friday","20151009"
"1003","1369","57","","1.0","17.17","Friday","20151009"
"1003","1023","22","","1.0","17.4019","Friday","20151009"
"1003","1369","115","","1.0","19.182","Saturday","20151010"
"1003","1023","46","","1.0","16.4313","Friday","20151009"
"1003","1023","66","","1.0","17.0456","Friday","20151009"
"1003","1023","16","","1.0","17.1432","Friday","20151009"
"1003","1369","57","","1.0","17.17","Friday","20151009"
"1003","1023","22","","1.0","17.4019","Friday","20151009"
"1003","1369","115","","1.0","19.182","Saturday","20151010"
"1221","1340","77","","1.0","16.101","Wednesday","20151007"
"1221","1340","52","","1.0","16.1048","Friday","20151009"
"1221","1340","220","","1.0","11.0216","Friday","20151009"
"1221","1340","50","","1.0","13.271","Wednesday","20151007"
"1008","1340","190","","1.0","14.1313","Wednesday","20151007"
"1008","1340","75","","1.0","15.003","Wednesday","20151007"
"1008","1340","7","","1.0","1.2417","Sunday","20151011"
"1008","1340","11","","1.0","1.2146","Sunday","20151011"
"1008","1340","4","","1.0","1.2525","Sunday","20151011"
"1008","1340","272","","1.0","22.0116","Friday","20151009"
"1008","1340","23","","1.0","1.3158","Sunday","20151011"
"1008","1340","67","","1.0","23.0324","Tuesday","20151006"
"1008","1340","44","","1.0","23.2018","Thursday","20151008"
"1008","1340","164","","1.0","16.5745","Wednesday","20151007"
"1008","1340","41","","1.0","11.2347","Friday","20151009"
"1008","1340","83","","1.0","12.1617","Wednesday","20151007"
"1008","1340","60","","1.0","11.2526","Saturday","20151010"
"1008","1340","146","","1.0","15.0458","Wednesday","20151007"
"1008","1340","124","","1.0","22.0316","Saturday","20151010"
"1008","1340","11","","1.0","1.1906","Sunday","20151011"
"1008","1340","113","","1.0","15.5446","Saturday","20151010"
"1008","1340","50","","1.0","22.0214","Tuesday","20151006"
"1008","1340","77","","1.0","13.3632","Saturday","20151010"
"1008","1340","86","","1.0","16.542","Wednesday","20151007"
"1008","1340","478","","1.0","15.1412","Thursday","20151008"
"1008","1340","75","","1.0","19.3121","Tuesday","20151006"
"1008","1340","65","","1.0","16.5605","Wednesday","20151007"
"1008","1340","7","","1.0","0.5756","Sunday","20151011"
"1008","1340","13","","1.0","22.0741","Tuesday","20151006"
"1008","1340","64","","1.0","22.0816","Tuesday","20151006"
"1008","1340","4","","1.0","1.2019","Sunday","20151011"
"1008","1340","10","","1.0","15.0002","Thursday","20151008"
"1008","1340","1","","1.0","2.4138","Sunday","20151011"
"1008","1340","39","","1.0","13.3828","Wednesday","20151007"
"1008","1340","8","","1.0","1.224","Sunday","20151011"
"1008","1340","13","","1.0","23.2213","Thursday","20151008"
"1008","1340","29","","1.0","0.3642","Sunday","20151011"
"1008","1340","7","","1.0","1.2044","Sunday","20151011"
"1008","1340","23","","1.0","22.1245","Thursday","20151008"
"1008","1340","6","","1.0","1.1941","Sunday","20151011"
"1008","1340","33","","1.0","23.5834","Saturday","20151010"
"1008","1340","132","","1.0","13.0204","Tuesday","20151006"
"1008","1340","2","","1.0","22.0818","Thursday","20151008"
"1008","1340","133","","1.0","22.0125","Thursday","20151008"
"1008","1340","49","","1.0","18.2336","Monday","20151005"
"1008","1340","44","","1.0","14.0447","Tuesday","20151006"
"1008","1340","7","","1.0","1.2114","Sunday","20151011"
"1008","1340","63","","1.0","15.4635","Tuesday","20151006"
